"cement","slag","flyash","water","super_plast","coarse_agg","fine_agg","age","strength"
266,114,0,228,0,932,670,90,48.5914701428572
266,114,0,228,0,932,670,28,40.5377376190476
427.5,47.5,0,228,0,932,594,270,42.4766287582418
190,190,0,228,0,932,670,90,47.0570215
380,0,0,228,0,932,670,270,51.352986952381
427.5,47.5,0,228,0,932,594,28,39.7389456868133
198.6,132.4,0,192,0,978.4,825.5,180,39.7975893333333
332.5,142.5,0,228,0,932,594,90,39.1974981673327
237.5,237.5,0,228,0,932,594,180,38.2624612619048
427.5,47.5,0,228,0,932,594,365,43.1230544249085
237.5,237.5,0,228,0,932,594,365,39.6326052619048
380,95,0,228,0,932,594,180,41.7471804963371
190,190,0,228,0,932,670,180,48.7448549761905
475,0,0,228,0,932,594,365,43.3476611904763
190,190,0,228,0,932,670,28,36.3784891666667
425,106.3,0,151.4,18.6,936,803.7,3,35.8990853333333
374,189.2,0,170.1,10.1,926.1,756.7,7,41.76490801443
469,117.2,0,137.8,32.2,852.1,840.5,7,49.344952
318.8,212.5,0,155.7,14.3,852.1,880.4,7,37.9678156666667
401.8,94.7,0,147.4,11.4,946.8,852.1,7,43.7684829047619
362.6,189,0,164.9,11.6,944.7,755.8,7,40.3080178802309
362.6,189,0,164.9,11.6,944.7,755.8,7,40.3080178802309
388.6,97.1,0,157.9,12.1,852.1,925.7,28,57.4460697936509
531.3,0,0,141.8,28.2,852.1,893.7,28,59.5201702857143
318.8,212.5,0,155.7,14.3,852.1,880.4,28,63.2848996666666
475,118.8,0,181.1,8.9,852.1,781.5,56,68.5959013333333
469,117.2,0,137.8,32.2,852.1,840.5,56,68.3055776666667
425,106.3,0,153.5,16.5,852.1,887.1,56,64.0433843622488
379.5,151.2,0,153.9,15.9,1134.3,605,56,58.5061464761905
362.6,189,0,164.9,11.6,944.7,755.8,56,77.1975170651571
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,69.978732126984
388.6,97.1,0,157.9,12.1,852.1,925.7,91,59.2207557619049
362.6,189,0,164.9,11.6,944.7,755.8,91,77.9346800651571
362.6,189,0,164.9,11.6,944.7,755.8,91,77.9346800651571
439,177,0,186,11.1,884.9,707.9,91,67.9511996493506
222.4,0,96.7,189.3,4.5,967.1,870.3,28,26.643672
190.7,0,125.4,162.1,7.8,1090,804,28,28.2389036666667
190.7,0,125.4,162.1,7.8,1090,804,100,40.0872986666666
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,24.438411
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,34.6508698095238
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.466405
250,0,95.7,187.4,5.5,956.9,861.2,28,29.7576526666666
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,27.5083946666667
212,0,124.8,159,7.8,1085.4,799.5,28,32.7743996666667
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.2630976666667
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,30.356516
181.4,0,167,169.6,7.6,1055.6,777.8,3,15.0339016666667
181.4,0,167,169.6,7.6,1055.6,777.8,14,25.7224566666667
182,45.2,122,170.2,8.2,1059.4,780.7,3,15.3184653333334
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,26.2442873333333
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,46.1964093333333
290.4,0,96.2,168.1,9.4,961.2,865,14,35.384963
251.8,0,99.9,146.1,12.4,1006,899.8,56,47.4443343333333
249.1,0,98.8,158.1,12.8,987.8,889,3,21.1564856666667
249.1,0,98.8,158.1,12.8,987.8,889,14,33.9968353333333
246.8,0,125.1,143.3,12,1086.8,800.9,100,55.6711583333333
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,22.320486
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,49.926351
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,39.0532979523809
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,19.2397326666667
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,55.4417089999999
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,55.8262166666666
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,50.1860396666667
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,51.0423816666667
